,City,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,year,Arson
62,Yuma,96014.0,587.0,5.0,46.0,64.0,472.0,3375.0,805.0,2348.0,222.0,2013,25.0
0,Apache Junction,37274.0,91.0,2.0,8.0,17.0,64.0,1221.0,404.0,748.0,69.0,2014,14.0
1,Buckeye,58126.0,29.0,1.0,4.0,7.0,17.0,1141.0,195.0,878.0,68.0,2014,
2,Bullhead City,39337.0,81.0,2.0,1.0,12.0,66.0,1603.0,391.0,1098.0,114.0,2014,5.0
3,Camp Verde,11055.0,36.0,0.0,2.0,1.0,33.0,273.0,76.0,172.0,25.0,2014,5.0
4,Casa Grande,50207.0,240.0,1.0,21.0,53.0,165.0,1795.0,361.0,1366.0,68.0,2014,27.0
5,Chandler,252369.0,466.0,1.0,60.0,111.0,294.0,5643.0,954.0,4461.0,228.0,2014,97.0
6,Chino Valley,10979.0,76.0,0.0,3.0,3.0,70.0,294.0,57.0,217.0,20.0,2014,3.0
10,El Mirage,33307.0,56.0,0.0,4.0,13.0,39.0,1015.0,244.0,701.0,70.0,2014,8.0
11,Eloy,17001.0,85.0,2.0,4.0,8.0,71.0,498.0,127.0,343.0,28.0,2014,7.0
12,Flagstaff,69490.0,275.0,3.0,30.0,46.0,196.0,3020.0,215.0,2722.0,83.0,2014,11.0
13,Florence,25068.0,32.0,1.0,0.0,0.0,31.0,150.0,22.0,118.0,10.0,2014,0.0
15,Gilbert,235430.0,209.0,0.0,27.0,41.0,141.0,3473.0,580.0,2766.0,127.0,2014,23.0
19,Kingman,28526.0,73.0,1.0,6.0,9.0,57.0,1471.0,248.0,1151.0,72.0,2014,15.0
20,Lake Havasu City,52892.0,88.0,1.0,14.0,5.0,68.0,1109.0,222.0,830.0,57.0,2014,2.0
22,Mesa,462092.0,2119.0,13.0,252.0,469.0,1385.0,12940.0,2358.0,9744.0,838.0,2014,85.0
24,Nogales,20382.0,48.0,0.0,0.0,5.0,43.0,539.0,122.0,374.0,43.0,2014,0.0
27,Payson,15238.0,55.0,1.0,2.0,2.0,50.0,376.0,112.0,241.0,23.0,2014,0.0
28,Peoria,164722.0,244.0,2.0,36.0,60.0,146.0,3299.0,607.0,2510.0,182.0,2014,3.0
29,Phoenix,1529852.0,8749.0,114.0,1006.0,2952.0,4677.0,56977.0,14316.0,35461.0,7200.0,2014,313.0
32,Prescott,40992.0,141.0,0.0,6.0,14.0,121.0,1229.0,179.0,1004.0,46.0,2014,5.0
33,Prescott,40035.0,88.0,1.0,7.0,13.0,67.0,928.0,107.0,806.0,15.0,2014,3.0
35,Sahuarita,27207.0,9.0,0.0,2.0,3.0,4.0,393.0,51.0,326.0,16.0,2014,2.0
38,Somerton,15145.0,25.0,0.0,0.0,1.0,24.0,215.0,63.0,121.0,31.0,2014,0.0
42,Surprise,125049.0,137.0,4.0,9.0,31.0,93.0,2099.0,350.0,1620.0,129.0,2014,14.0
43,Tempe,169812.0,799.0,5.0,103.0,193.0,498.0,8044.0,1177.0,6406.0,461.0,2014,42.0
49,Yuma,92075.0,520.0,3.0,35.0,70.0,412.0,3334.0,855.0,2166.0,313.0,2014,38.0
0,Apache Junction,38519.0,96.0,0.0,3.0,11.0,82.0,1282.0,352.0,836.0,94.0,2015,7.0
2,Buckeye,61726.0,28.0,2.0,1.0,7.0,18.0,1103.0,189.0,855.0,59.0,2015,12.0
3,Bullhead City,39319.0,89.0,1.0,1.0,18.0,69.0,1306.0,253.0,963.0,90.0,2015,3.0
4,Camp Verde,11155.0,48.0,1.0,3.0,0.0,44.0,303.0,68.0,219.0,16.0,2015,1.0
5,Casa Grande,51918.0,244.0,2.0,12.0,57.0,173.0,1802.0,304.0,1413.0,85.0,2015,19.0
6,Chandler,258875.0,490.0,1.0,79.0,114.0,296.0,5393.0,770.0,4367.0,256.0,2015,45.0
9,Cottonwood,11678.0,34.0,1.0,0.0,1.0,32.0,423.0,46.0,353.0,24.0,2015,7.0
11,El Mirage,33985.0,81.0,1.0,4.0,19.0,57.0,1096.0,282.0,731.0,83.0,2015,11.0
12,Eloy,16678.0,89.0,1.0,8.0,8.0,72.0,457.0,97.0,331.0,29.0,2015,13.0
13,Flagstaff,69471.0,260.0,0.0,35.0,45.0,180.0,2654.0,180.0,2418.0,56.0,2015,19.0
14,Florence,26926.0,34.0,1.0,3.0,1.0,29.0,174.0,34.0,128.0,12.0,2015,1.0
16,Gilbert,247324.0,177.0,2.0,28.0,32.0,115.0,3267.0,530.0,2600.0,137.0,2015,20.0
17,Glendale,240374.0,943.0,13.0,94.0,356.0,480.0,12955.0,1986.0,9920.0,1049.0,2015,51.0
19,Goodyear,78447.0,143.0,1.0,18.0,15.0,109.0,1784.0,378.0,1301.0,105.0,2015,15.0
23,Kingman,28651.0,77.0,1.0,9.0,14.0,53.0,1443.0,207.0,1167.0,69.0,2015,2.0
24,Lake Havasu City,53220.0,93.0,0.0,30.0,6.0,57.0,987.0,216.0,728.0,43.0,2015,2.0
26,Marana,41302.0,30.0,2.0,5.0,5.0,18.0,973.0,69.0,867.0,37.0,2015,2.0
28,Mesa,471034.0,1972.0,16.0,241.0,408.0,1307.0,11905.0,2219.0,8861.0,825.0,2015,80.0
30,Nogales,20312.0,20.0,0.0,0.0,2.0,18.0,551.0,87.0,374.0,90.0,2015,0.0
31,Oro Valley,42258.0,27.0,0.0,4.0,8.0,15.0,583.0,79.0,481.0,23.0,2015,0.0
33,Paradise Valley,13886.0,16.0,0.0,5.0,2.0,9.0,208.0,75.0,126.0,7.0,2015,1.0
35,Payson,15228.0,39.0,1.0,3.0,4.0,31.0,412.0,77.0,319.0,16.0,2015,0.0
36,Peoria,170222.0,283.0,1.0,31.0,64.0,187.0,3368.0,647.0,2516.0,205.0,2015,11.0
37,Phoenix,1559744.0,9261.0,112.0,1016.0,3020.0,5113.0,54456.0,12798.0,34288.0,7370.0,2015,
40,Prescott,41393.0,137.0,4.0,11.0,13.0,109.0,1061.0,140.0,884.0,37.0,2015,5.0
41,Prescott,41661.0,97.0,1.0,9.0,5.0,82.0,1041.0,102.0,900.0,39.0,2015,2.0
44,Sahuarita,28067.0,13.0,0.0,2.0,0.0,11.0,339.0,44.0,277.0,18.0,2015,1.0
46,Scottsdale,233872.0,434.0,6.0,106.0,100.0,222.0,5332.0,829.0,4311.0,192.0,2015,10.0
47,Sedona,10340.0,14.0,0.0,3.0,0.0,11.0,141.0,25.0,112.0,4.0,2015,3.0
48,Show Low,10878.0,21.0,0.0,2.0,2.0,17.0,532.0,50.0,469.0,13.0,2015,2.0
49,Sierra Vista,43452.0,107.0,2.0,8.0,13.0,84.0,1262.0,181.0,1032.0,49.0,2015,15.0
51,Somerton,15061.0,22.0,0.0,0.0,1.0,21.0,211.0,51.0,128.0,32.0,2015,0.0
54,Surprise,128525.0,168.0,2.0,17.0,44.0,105.0,2182.0,410.0,1667.0,105.0,2015,23.0
55,Tempe,175556.0,721.0,7.0,101.0,183.0,430.0,7642.0,1108.0,6175.0,359.0,2015,65.0
58,Tucson,529675.0,3472.0,31.0,422.0,1059.0,1960.0,35185.0,3664.0,29592.0,1929.0,2015,117.0
64,Yuma,93923.0,453.0,5.0,46.0,74.0,328.0,2925.0,682.0,1984.0,259.0,2015,32.0
